image_filename	image_time	Water_Level_value	Water_Level_criterion	Water_Level_offset_min
2024_05_01_08_30_CAM3_average.png	2024-05-01 08:30:00	-1.280	Troughs (Minima)	-22.0
2024_05_01_09_00_CAM3_average.png	2024-05-01 09:00:00	-1.310	Troughs (Minima)	8.0
2024_05_02_09_30_CAM3_average.png	2024-05-02 09:30:00	-1.090	Troughs (Minima)	-25.0
2024_05_02_10_00_CAM3_average.png	2024-05-02 10:00:00	-1.130	Troughs (Minima)	5.0
2024_05_04_13_00_CAM3_average.png	2024-05-04 13:00:00	-1.270	Troughs (Minima)	-27.0
2024_05_04_13_30_CAM3_average.png	2024-05-04 13:30:00	-1.300	Troughs (Minima)	3.0
2024_05_07_04_00_CAM3_average.png	2024-05-07 04:00:00	-1.780	Troughs (Minima)	-1.0
2024_05_07_04_30_CAM3_average.png	2024-05-07 04:30:00	-1.720	Troughs (Minima)	29.0
2024_05_08_04_30_CAM3_average.png	2024-05-08 04:30:00	-1.880	Troughs (Minima)	-16.0
2024_05_08_05_00_CAM3_average.png	2024-05-08 05:00:00	-1.890	Troughs (Minima)	14.0
2024_05_09_05_00_CAM3_average.png	2024-05-09 05:00:00	-1.810	Troughs (Minima)	-30.0
2024_05_09_05_30_CAM3_average.png	2024-05-09 05:30:00	-1.900	Troughs (Minima)	0.0
2024_05_11_07_00_CAM3_average.png	2024-05-11 07:00:00	-1.770	Troughs (Minima)	1.0
2024_05_11_19_00_CAM3_average.png	2024-05-11 19:00:00	-1.920	Troughs (Minima)	-19.0
2024_05_12_07_30_CAM3_average.png	2024-05-12 07:30:00	-1.770	Troughs (Minima)	-6.0
2024_05_12_08_00_CAM3_average.png	2024-05-12 08:00:00	-1.710	Troughs (Minima)	24.0
2024_05_13_07_30_CAM3_average.png	2024-05-13 07:30:00	-1.630	Troughs (Minima)	-22.0
2024_05_13_08_00_CAM3_average.png	2024-05-13 08:00:00	-1.660	Troughs (Minima)	8.0
2024_05_14_08_30_CAM3_average.png	2024-05-14 08:30:00	-1.510	Troughs (Minima)	-3.0
2024_05_14_09_00_CAM3_average.png	2024-05-14 09:00:00	-1.480	Troughs (Minima)	27.0
2024_05_15_09_00_CAM3_average.png	2024-05-15 09:00:00	-1.330	Troughs (Minima)	-21.0
2024_05_15_09_30_CAM3_average.png	2024-05-15 09:30:00	-1.340	Troughs (Minima)	9.0
2024_05_16_10_00_CAM3_average.png	2024-05-16 10:00:00	-1.260	Troughs (Minima)	-11.0
2024_05_16_10_30_CAM3_average.png	2024-05-16 10:30:00	-1.260	Troughs (Minima)	19.0
2024_05_17_11_30_CAM3_average.png	2024-05-17 11:30:00	-1.110	Troughs (Minima)	-9.0
2024_05_17_12_00_CAM3_average.png	2024-05-17 12:00:00	-1.080	Troughs (Minima)	21.0
2024_05_18_12_30_CAM3_average.png	2024-05-18 12:30:00	-1.190	Troughs (Minima)	-20.0
2024_05_18_13_00_CAM3_average.png	2024-05-18 13:00:00	-1.210	Troughs (Minima)	10.0
2024_05_19_14_00_CAM3_average.png	2024-05-19 14:00:00	-1.250	Troughs (Minima)	-1.0
2024_05_19_14_30_CAM3_average.png	2024-05-19 14:30:00	-1.200	Troughs (Minima)	29.0
2024_05_20_15_00_CAM3_average.png	2024-05-20 15:00:00	-1.480	Troughs (Minima)	-3.0
2024_05_20_15_30_CAM3_average.png	2024-05-20 15:30:00	-1.420	Troughs (Minima)	27.0
2024_05_21_03_30_CAM3_average.png	2024-05-21 03:30:00	-1.770	Troughs (Minima)	17.0
2024_05_21_15_30_CAM3_average.png	2024-05-21 15:30:00	-1.640	Troughs (Minima)	-8.0
2024_05_23_04_30_CAM3_average.png	2024-05-23 04:30:00	-1.590	Troughs (Minima)	-2.0
2024_05_23_05_00_CAM3_average.png	2024-05-23 05:00:00	-1.520	Troughs (Minima)	28.0
2024_05_24_05_00_CAM3_average.png	2024-05-24 05:00:00	-1.820	Troughs (Minima)	-14.0
2024_05_24_05_30_CAM3_average.png	2024-05-24 05:30:00	-1.820	Troughs (Minima)	16.0
2024_05_26_06_00_CAM3_average.png	2024-05-26 06:00:00	-1.650	Troughs (Minima)	-23.0
2024_05_26_06_30_CAM3_average.png	2024-05-26 06:30:00	-1.680	Troughs (Minima)	7.0
2024_05_26_19_00_CAM3_average.png	2024-05-26 19:00:00	-1.720	Troughs (Minima)	23.0
2024_05_27_06_30_CAM3_average.png	2024-05-27 06:30:00	-1.420	Troughs (Minima)	-26.0
2024_05_27_07_00_CAM3_average.png	2024-05-27 07:00:00	-1.480	Troughs (Minima)	4.0
2024_05_27_19_00_CAM3_average.png	2024-05-27 19:00:00	-1.560	Troughs (Minima)	-24.0
2024_05_28_08_00_CAM3_average.png	2024-05-28 08:00:00	-1.370	Troughs (Minima)	9.0
2024_05_30_09_00_CAM3_average.png	2024-05-30 09:00:00	-1.110	Troughs (Minima)	-13.0
2024_05_30_09_30_CAM3_average.png	2024-05-30 09:30:00	-1.110	Troughs (Minima)	17.0
2024_05_31_10_30_CAM3_average.png	2024-05-31 10:30:00	-0.950	Troughs (Minima)	16.0
