x,y,z
453808.1145941634,6072156.151815749,0.69
453808.37121589796,6072155.395460758,0.69
453808.48336095636,6072154.687819515,0.69
453808.6688095078,6072153.931414235,0.69
453808.92543124215,6072153.175059246,0.69
453809.1142759652,6072152.390606683,0.69
453809.3588541175,6072151.564661202,0.69
453809.4474734911,6072150.8032570295,0.69
453809.61407225404,6072150.009582202,0.69
453809.8546758925,6072149.246586766,0.69
453809.9933429525,6072148.441332598,0.69
453810.2297051984,6072147.538515798,0.69
453810.3481127698,6072146.58679982,0.69
453810.58447501564,6072145.683983019,0.69
453810.7231420761,6072144.878728852,0.69
453811.0774589959,6072144.024811228,0.69
453811.22633794695,6072143.268380108,0.69
453811.30306353874,6072142.511898006,0.69
453811.4466986359,6072141.727726364,0.69
453811.6523867264,6072140.950256371,0.69
453811.79105378693,6072140.145002204,0.69
453812.0476755215,6072139.3886472145,0.69
453812.3730406859,6072138.583524966,0.69
453812.4497662775,6072137.827042864,0.69
453812.6442502639,6072137.021828136,0.69
453812.7795533462,6072136.103031325,0.69
453812.94613980054,6072135.1712883385,0.69
453813.1127262548,6072134.239545353,0.69
453813.27931270906,6072133.307802366,0.69
453813.4458991633,6072132.376059379,0.69
453813.6124856176,6072131.444316394,0.69
453813.77907207183,6072130.512573407,0.69
453813.94565852615,6072129.58083042,0.69
453814.1122449804,6072128.649087435,0.69
453814.27883143467,6072127.717344448,0.69
453814.4454178889,6072126.785601462,0.69
453814.6120043432,6072125.853858476,0.69
453814.77859079745,6072124.922115489,0.69
453814.94517725176,6072123.990372503,0.69
453815.111763706,6072123.0586295165,0.69
453815.2783501603,6072122.12688653,0.69
453815.42024281307,6072121.184906505,0.69
453815.4448473904,6072120.194303648,0.69
453815.61143384466,6072119.262560661,0.69
453815.77803260763,6072118.468885833,0.69
453815.91413258784,6072117.524504404,0.69
453815.9445421464,6072116.67437111,0.69
453816.11112860066,6072115.742628125,0.69
453816.2777150549,6072114.810885138,0.69
453816.27762583084,6072113.810045241,0.69
453816.4442122851,6072112.878302255,0.69
453816.61079873936,6072111.946559268,0.69
453816.6107095152,6072110.9457193725,0.69
453816.7772959695,6072110.013976386,0.69
453816.8821055474,6072109.056623236,0.69
453816.9437931996,6072108.081393503,0.69
453817.11037965387,6072107.149650517,0.69
453817.11029042973,6072106.14881062,0.69
453817.276876884,6072105.217067634,0.69
453817.2767876599,6072104.216227737,0.69
453817.44337411417,6072103.284484751,0.69
453817.4750492006,6072102.296813036,0.69
453817.6098713443,6072101.351901868,0.69
453817.77645779855,6072100.420158882,0.69
453817.7763685744,6072099.419318985,0.69
453817.9429550287,6072098.4875759985,0.69
453817.94286580454,6072097.486736102,0.69
453818.1094522588,6072096.554993116,0.69
453818.1093630347,6072095.55415322,0.69
453818.275949489,6072094.622410233,0.69
453818.2758602648,6072093.621570337,0.69
453818.27577104064,6072092.62073044,0.69
453818.4423574949,6072091.688987454,0.69
453818.44226827077,6072090.688147558,0.69
453818.608854725,6072089.756404571,0.69
453818.60876550095,6072088.755564675,0.69
453818.7753519552,6072087.823821688,0.69
453818.77526273107,6072086.822981792,0.69
453818.9418491853,6072085.891238806,0.69
453818.9417599612,6072084.890398909,0.69
453818.941670737,6072083.889559013,0.69
453819.1082571913,6072082.957816026,0.69
453819.1081679672,6072081.95697613,0.69
453819.10807874304,6072080.956136233,0.69
453819.2746651973,6072080.024393247,0.69
453819.27457597316,6072079.023553351,0.69
453819.4411624274,6072078.091810364,0.69
453819.4410732033,6072077.090970468,0.69
453819.6076719662,6072076.297295641,0.69
453819.6075827421,6072075.296455745,0.69
453819.607493518,6072074.295615848,0.69
453819.77788432984,6072073.500371736,0.69
453819.77400305675,6072072.501101124,0.69
453820.00710905413,6072071.596934416,0.69
453819.9405125956,6072070.706586401,0.69
453820.10709904984,6072069.774843415,0.69
453820.1466819096,6072068.79044994,0.69
453820.27359628,6072067.842260532,0.69
453820.4401827343,6072066.910517545,0.69
453820.60676918854,6072065.97877456,0.69
453820.7382668703,6072065.032485205,0.69
453820.77326641866,6072064.0461916765,0.69
453820.9398528729,6072063.11444869,0.69
453820.9397636488,6072062.113608793,0.69
453821.10635010304,6072061.181865808,0.69
453821.1062608789,6072060.181025911,0.69
453821.31259061943,6072059.370908988,0.69
453821.5873793605,6072058.51693517,0.69
453821.4901370728,6072057.613882649,0.69
453821.6059679436,6072056.799161533,0.69
453821.7725667066,6072056.005486706,0.69
453822.08989612135,6072055.149434157,0.69
453822.024545826,6072054.24640417,0.69
453822.1056750083,6072053.417297156,0.69
453822.27227377123,6072052.623622328,0.69
453822.43886022555,6072051.691879341,0.69
453822.53869509004,6072050.73246388,0.69
453822.6053697643,6072049.897364618,0.69
453822.7719562186,6072048.965621632,0.69
453822.93854267284,6072048.033878646,0.69
453823.1051291271,6072047.102135659,0.69
453823.2717155814,6072046.1703926725,0.69
453823.4383020357,6072045.238649687,0.69
453823.60488848994,6072044.3069067,0.69
453823.7714749442,6072043.3751637135,0.69
453823.77138572006,6072042.374323817,0.69
453823.9379721743,6072041.442580831,0.69
453824.09734721476,6072040.507848288,0.69
453824.1044694045,6072039.509997948,0.69
453824.27105585876,6072038.578254961,0.69
453824.437642313,6072037.646511976,0.69
453824.453022827,6072036.652085199,0.69
453824.60413954314,6072035.7139290925,0.69
453824.7707259974,6072034.782186107,0.69
453824.77063677326,6072033.78134621,0.69
453824.9372232275,6072032.849603224,0.69
453824.93713400344,6072031.848763327,0.69
453825.1037204577,6072030.91702034,0.69
453825.3998305022,6072030.0389725305,0.69
453825.42054288846,6072029.184819186,0.69
453825.4412552751,6072028.330665843,0.69
453825.6034275224,6072027.535155963,0.69
453825.82137758256,6072026.720230137,0.69
453825.7699370612,6072025.740641239,0.69
453825.93652351544,6072024.808898253,0.69
453825.95585743675,6072023.816110397,0.69
453826.10302074556,6072022.87631537,0.69
453826.1029315215,6072021.875475474,0.69
453826.2695302844,6072021.081800647,0.69
453826.26944106026,6072020.080960751,0.69
453826.4360275145,6072019.149217764,0.69
453826.4359382904,6072018.148377867,0.69
453826.60252474464,6072017.216634882,0.69
453826.6874681504,6072016.251046031,0.69
453826.76902197476,6072015.2840519985,0.69
453826.7689327506,6072014.283212102,0.69
453826.93551920494,6072013.351469115,0.69
453826.9354299808,6072012.350629219,0.69
453827.10201643506,6072011.418886233,0.69
453827.1019272109,6072010.418046337,0.69
453827.2685136652,6072009.48630335,0.69
453827.268424441,6072008.485463453,0.69
453827.4350108953,6072007.553720467,0.69
453827.43492167117,6072006.55288057,0.69
453827.43483244703,6072005.552040675,0.69
453827.6014189013,6072004.620297688,0.69
453827.60132967716,6072003.619457792,0.69
453827.601240453,6072002.618617895,0.69
453827.6011512289,6072001.617777999,0.69
453827.60106200475,6072000.616938102,0.69
453827.6009727806,6071999.616098206,0.69
453827.6008835565,6071998.615258309,0.69
453827.6007943323,6071997.614418413,0.69
453827.6007051082,6071996.613578516,0.69
453827.60061588406,6071995.61273862,0.69
453827.60052665987,6071994.611898724,0.69
453827.6004374357,6071993.6110588275,0.69
453827.60034821165,6071992.610218931,0.69
453827.6002589875,6071991.6093790345,0.69
453827.6001697633,6071990.608539138,0.69
453827.4334171695,6071989.676670491,0.69
453827.43332794536,6071988.675830594,0.69
453827.4332387212,6071987.674990698,0.69
453827.433149497,6071986.674150801,0.69
453827.4330602729,6071985.673310905,0.69
453827.4329710488,6071984.672471008,0.69
453827.26621845487,6071983.740602361,0.69
453827.26612923073,6071982.739762465,0.69
453827.26604000665,6071981.738922568,0.69
453827.1979501001,6071980.766223781,0.69
453827.0991981886,6071979.806214025,0.69
453827.09910896444,6071978.805374129,0.69
453826.9605419796,6071977.861841271,0.69
453826.9322671465,6071976.872665585,0.69
453826.9321779223,6071975.8718256885,0.69
453826.76542532846,6071974.939957041,0.69
453826.7653361043,6071973.939117145,0.69
453826.72187297157,6071972.95622692,0.69
453826.5984942863,6071972.006408601,0.69
453826.59840506216,6071971.005568705,0.69
453826.4316524683,6071970.073700057,0.69
453826.43156324414,6071969.072860161,0.69
453826.26481065026,6071968.140991514,0.69
453826.2647214261,6071967.140151617,0.69
453826.0979688323,6071966.20828297,0.69
453825.93121623836,6071965.276414324,0.69
453826.0883838869,6071964.340766686,0.69
453825.76438672905,6071963.481773939,0.69
453825.73246857396,6071962.632179243,0.69
453825.5975572197,6071961.687133554,0.69
453825.43080462585,6071960.755264907,0.69
453825.4307154017,6071959.754425011,0.69
453825.2639751165,6071958.9606245225,0.69
453825.40768787253,6071958.019399038,0.69
453825.0971456072,6071957.165984138,0.69
453824.93039301323,6071956.234115491,0.69
453824.93030378915,6071955.233275594,0.69
453824.930214565,6071954.232435698,0.69
453824.76346197113,6071953.300567051,0.69
453824.763372747,6071952.299727155,0.69
453824.5966201531,6071951.367858508,0.69
453824.596530929,6071950.367018611,0.69
453824.42977833515,6071949.435149964,0.69
